08923: Maritime transport statistics. Cargo and number of units, by commodity, flag, loaded/unloaded, domestic/foreign, quarter, contents and port;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
commodity;flag;loaded/unloaded;domestic/foreign;quarter;contents;Fredrikstad (Borg);Moss;Oslo;Drammen;Tønsberg;Sandefjord;Larvik;Porsgrunn (Grenland);Kristiansand;Farsund;Kvinesdal;Egersund;Stavanger;Sauda;Haugesund (Karmsund);Bergen and Omland;Florø;Svelgen (Bremanger);Måløy (Nordfjord);Ålesund;Molde;Kristiansund;Trondheim;Verdal;Brønnøysund (Brønnøy);Helgeland havn;Mo i Rana;Bodø;Narvik;Harstad;Tromsø;Hammerfest;Sveagruva;Kirkenes;Norway - Unspecified, quarterly survey
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2017K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;180;30949;0;21;0;8273;0;0;0;0;0;0;0;0;0;0;0;70;1115;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2017K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;9938;0;0;255;0;0;13;0;0;0;0;2;220;627;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2018K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;6306;0;0;0;0;0;28;0;0;0;0;78;174;950;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2018K2;Cargo (tonnes);0;0;2711;0;0;0;0;0;0;0;0;0;58;0;2310;0;3379;0;0;0;0;0;0;0;0;0;0;293;160;722;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2018K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;5523;0;0;0;0;0;72;0;0;0;91;0;279;496;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2018K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6801;0;0;0;0;0;0;0;0;0;0;64;289;1308;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2019K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;71;0;0;400;863;7803;0;0;0;0;0;4697;0;0;0;0;321;0;365;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2019K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;400;0;0;340;2080;7072;0;0;0;0;53;1825;0;0;0;0;0;0;625;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2019K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;19;0;0;95;0;9097;0;0;0;0;0;134;0;0;0;0;613;0;1601;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2019K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;96;0;0;561;0;8933;0;0;0;0;0;35;0;0;0;0;123;0;889;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2020K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;904;9806;0;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2020K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;4269;4569;0;0;10;0;0;3111;0;0;0;0;0;0;883;0;0;0;0;4710
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2020K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;83;0;0;292;216;5759;0;0;0;0;0;1228;0;0;0;0;0;0;253;0;0;0;0;408
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2020K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;7915;0;0;0;0;0;195;0;0;0;0;0;0;1294;0;0;0;0;144
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2021K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1522;4496;0;0;0;1275;0;540;0;0;0;0;0;0;888;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Domestic;2021K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;3471;1609;0;0;0;0;0;5363;0;0;0;0;0;164;1301;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2012K1;Cargo (tonnes);0;0;0;0;0;0;1663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2012K2;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2012K3;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;3334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2012K4;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;1061;0;0;0;0;0;0;661;0;0;0;0;0;0;0;0;0;0;0;0;0
Agricultural products, forestry products, fishing products;Norge NOR;Unloaded;Foreign;2013K1;Cargo (tonnes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
